key;en-us;zh-cn;cs-cz;de-de;fr-fr;pt-br;ja-jp;zh-tw;gl-es;pl-pl;ru-ru
server_editor_display_full_screen_flag_window;Disable;禁用;Vypnout;Deaktivieren;Désactiver;Desativar;;停用;Deshabilitar;Dezaktywuj;Выключить
server_editor_display_full_screen_flag_full_screen;Enable (single monitor);允许（单显示器）;Zapnout (jeden monitor);Aktivieren (Einzel-Monitor);Activer (moniteur unique);Ativar (monitor único);;啟用 (單一顯示器);Habilitar (unha soa pantalla);Aktywuj (jeden monitor);Включить (один монитор)
server_editor_display_full_screen_flag_all_screens;Enable (multi monitors);允许（所有显示器）;Zapnout (více monitorů);Aktivieren (alle Monitore);Activer (multi-moniteurs);Ativar (vários monitores);;啟用 (全部顯示器);Habilitar (varios monitores);Aktywuj (kilka monitorów);Включить (несколько мониторов)
Display the connection bar when use the full screen;Display the connection bar when use the full screen;全屏时显示连接栏;Ukazovat lištu připojení v režimu na celou obrazovku;Zeigen Sie die Anschlussleiste an, wenn Sie den vollständigen Bildschirm verwenden;Afficher la barre de connexion lors de l'utilisation de l'écran complet;Exibir a barra de conexão ao usar a tela cheia;;全螢幕時顯示連線列;Mostrar a barra de conexión cando se usa a pantalla completa;Pokaż pasek połączenia przy pełnym ekranie;Отображать панель подключения при использовании полноэкранного режима
Pin the connection bar by default;Pin the connection bar by default;默认固定连接栏;;Verbindungleiste standardmäßig fixieren;;;;;;Przypnij pasek połączenia standardowo;Закрепить панель подключения по умолчанию
New session always use full screen;New session always use full screen;启动会话时永远进入全屏模式;Nová relace bude vždy na celou obrazovku;Neue Sitzung Verwenden Sie immer den vollständigen Bildschirm;Connectez-vous en plein écran;Nova sessão sempre usará tela cheia;;連線工作階段後一律以全螢幕顯示;A nova sesión usa sempre a pantalla completa;Nowe sesje zawsze w trybie pełnoekranowym;Новый сеанс всегда использует полноэкранный режим
New session use full screen if the last session is full screen;New session use full screen if the last session is full screen;启动会话时根据上次会话决定是否进入全屏模式;Nová relace bude na celou obrazovku pokud ta předchozí také byla;Neue Sitzung Vollbild Verwenden Sie den Vollbild, wenn die letzte Sitzung Vollbild ist;Nouvelle session Utilisez plein écran si la dernière session est en plein écran;Nova sessão usará tela cheia se a última sessão foi em tela cheia;;連線工作階段後依照上一次連線時的顯示決定;A nova sesión usa sempre a pantalla completa se a última sesión foi a pantalla completa;Nowa sesja w trybie pełnoekranowym, jeżeli poprzednia sesja była w trybie pełnoekranowym;Новый сеанс использует полноэкранный режим, если последний сеанс был полноэкранным
Resolution;Resolution;分辨率;Rozlišení;Auflösung;Résolution;Resolução;;解析度;Resolución;Rozdzielczość;Разрешение
Fit to window;Fit to window(Supported server: Windows Server 2012 R2 and above);适应窗口大小(服务器要求Windows Server 2012 R2及以上);Přizpůsobit oknu (podporovaný server: Windows Server 2012 R2 a novější);An Fenster anpassen(Unterstützter Server: Windows Server 2012 R2 und höher);Apte à la fenêtre(Serveur pris en charge: Windows Server 2012 R2 et supérieur);Ajustar à janela (Servidor Compatível com Windows Server 2012 R2 e superior);;與客戶端視窗大小相同 (需要Windows Server 2012 R2及以上的伺服器);Axustar á fiestra (servidores soportados: Windows Server 2012 R2 e superiores);Dopasuj do okna (Wspierane wersje: Windows Server 2012 R2 i wyżej);По размеру окна (поддерживается Windows Server 2012 R2 и более поздние версии)
Custom resolution (stretch);Custom resolution (stretch);自定义分辨率 (拉伸);Uživatelsky určené rozlišení (roztáhnout);Benutzerdefinierte Auflösung (Stretch);Résolution personnalisée (étirement);Resolução personalizada (esticar);;自訂解析度 (延展);Resolución personalizada (estirada);Niestandardowa rozdzielczość (rozciągnij);Пользовательское разрешение (растянуть)
Custom resolution (fixed);Custom resolution (fixed);自定义分辨率 (固定);Uživatelsky určené rozlišení (napevno);Benutzerdefinierte Auflösung (fixiert);Résolution personnalisée (fixe);Resolução personalizada (fixa);;自訂解析度 (固定大小);Resolución personalizada (fixa);Niestandardowa rozdzielczość (stała);Пользовательское разрешение (фиксированное)
Full-screen resolution (stretch);Full-screen resolution (stretch);屏幕分辨率 (拉伸);Rozlišení v režimu celé obrazovky (roztáhnout);Vollbildauflösung (stretch);Résolution en plein écran (étirement);Resolução de tela cheia (esticar);;全螢幕解析度 (延展);Resoluicón a pantalla completa (estirada);Rozdzielczość pełnoekranowa (rozciągnij);Полноэкранное разрешение (растянуть)
Full-screen resolution (fixed);Full-screen resolution (fixed);屏幕分辨率 (固定);Rozlišení v režimu celé obrazovky (napevno);Vollbildauflösung (fixiert);Résolution en plein écran (fixe);Resolução de tela cheia (fixa);;全螢幕解析度 (固定大小);Resolución a pantalla completa (fixa);Rozdzielczość pełnoekranowa (stała);Полноэкранное разрешение (фиксированное)
Scale;Scale;缩放;Měřítko;Skalierung;;Tamanho;;縮放;Escala;Skala;Масштаб
server_editor_display_rdp_performance;Performance;桌面体验;Kvalita/výkon;Leistung;;;;效能;Rendimento;Wydajność;Производительность
server_editor_display_rdp_performance_auto;Auto (judged based on connection speed);自动（根据网速）;Automaticky (usouzeno na základě rychlosti připojení);Verbindungsqualität automatisch erkennen;Jugement automatique (par vitesse de connexion);Automático (com base na velocidade da conexão);;根據網路品質自動調整;Auto (basada na velocidade da conexión);Automatyczna (ocenania na podstawie prędkości połączenia);Авто (оценивается по скорости соединения)
server_editor_display_rdp_performance_high;High (32bit color with full feature support);高（32位色彩与所有特性）;Vysoká (32bit barvy a plná podpora vizuálních funkcí);Hoch (32-Bit-Farben mit voller Funktionsunterstützung);Élevé (couleur 32 bits avec prise en charge complète des fonctionnalités);Alta (cor de 32 bits com suporte completo a recursos);;高 (32 位元色彩且包含所有增強效果);Alta (color de 32bits con soporte de caracterísiticas completo);Wysoka (32 bit kolor z pełnym wsparciem);Высокая (32-битный цвет с полной поддержкой функций)
server_editor_display_rdp_performance_middle;Middle (16bit color with only font smoothing and desktop composition);中（16位色彩与字体平滑、桌面合成）;Střední (16bit barvy a pouze vyhlazování písma a kompozitor desktopu);Mittel (16-Bit-Farben nur mit Schriftglättung und Desktop Composition);Milieu (couleur 16 bits avec uniquement le lissage de la police et la composition du bureau);Médio (cor de 16 bits com apenas suavização de fonte e composição da área de trabalho);;中 (16 位元色彩，開啟字型反鋸齒與桌面合成);Medio (color de 16bits con so fontes suaves e composición do escritorio);Średnia (16bit kolor z wygładzaniem czcionki i kompozycją pulpitu);Средняя (16-битный цвет, только сглаживание шрифта и композиция рабочего стола)
server_editor_display_rdp_performance_low;Low (8bit color with no feature support);低（8位色彩无任何显示增强）;Nízká (8bit barvy bez vizuálních funkcí);Niedrig (8-Bit-Farben ohne Zusatzfunktionen);Faible (couleur 8 bits sans prise en charge des fonctionnalités);Baixo (cor de 8 bits sem suporte a recursos);;低 (8 位元色彩，沒有其他增強效果);Baixa (color de 8bits sen soporte de características);Niska (8bit kolor bez dodatków);Низкая (8-битный цвет без поддержки функций)
server_editor_advantage_admin;For administering a server;连接到会话以管理服务器;Pro správu serveru;Um einen Server zu administrieren;;Para administrar um servidor;;連線到工作階段以便管理伺服器;Para administrar un servidor;Dla administratora;Для администрирования сервера
server_editor_advantage_resources;Resources;共享到远程桌面;Prostředky;Ressourcen;Ressources;Recursos;;與遠端伺服器分享資源;Recursos;Zasoby;Ресурсы
server_editor_advantage_clipboard;Clipboard;剪贴板;Schránka;Zwischenablage;Presse-papiers;Área de transferência;;剪貼簿;Portapapeis;Schowek;Буфер обмена
server_editor_advantage_key_combinations;Key Combinations;组合键;Kombinace kláves;Tastenkombinationen;Combinaisons de clés;Combinações de teclas;;按鍵組合;Combiacións de teclas;Kombinacje klawiszy;Комбинации клавиш
server_editor_advantage_disk_drives;Drives;本地磁盘;Diskové jednotky;Laufwerke;Disques durs;Unidades de disco;;本機磁碟;Unidades;Dyski;Диски
Drives plug in latter;Drives plug in latter;稍后插入的U盘;Drives plug in latter;Laufwerke, die nachträglich angeschlossen wurden;Drives plug in latter;Drives plug in latter;Drives plug in latter;稍後連接的磁碟機;Conectar unidades máis tarde;Dyski podłączone później;Диски подключаются позже
server_editor_advantage_sounds;Sounds;声音;Zvuky;Ton;Sons;Sons;;音效;Sons;Dźwięk;Звуки
server_editor_advantage_sounds_disabled;Disabled;禁用;Vypnuto;Nicht wiedergeben;Désactivée;Desabilitado;;停用;Deshabilitado;Dezaktywowane;Выключены
server_editor_advantage_sounds_on_local;Play on local;在本地播放;Přehrávat lokálně;Lokal wiedergeben;Jouez en local;Rode localmente;;在本機播放;Soar en local;Słuchaj na lokalym;Проигрывать на локальном ПК
server_editor_advantage_sounds_on_remote;Play on remote;在远程播放;Přehrávat na protějšku;Entfernt wiedergeben;Jouer à distance;Rode remotamente;;在遠端播放;Soar en remoto;Słuchaj na zdalnym;Проигрывать на удалённом ПК
server_editor_advantage_sound_quality;Sound Quality;音频质量;;Audioqualität;;;;;;;Качество звука
server_editor_advantage_sound_quality_dynamic;Dynamic;动态;;Dynamisch;;;;;;;Динамическое
server_editor_advantage_sound_quality_medium;Medium;中;;Mittel;;;;;;;Среднее
server_editor_advantage_sound_quality_high;High;高;;Hoch;;;;;;;Высокое
server_editor_advantage_audio_capture;Audio Capture;录音;Zachytávání zvuku;Audioaufzeichnung;Capture audio;Captura de áudio;;音效擷取;Captura de audio;Przechwytywanie dzwięku;Захват звука
server_editor_advantage_ports;Ports;端口;Porty;Ports;;Portas;;連接埠;Portos;Porty;Порты
server_editor_advantage_printers;Printers;打印机;Tiskárny;Drucker;Imprimantes;Impressoras;;印表機;Impresoras;Drukarki;Принтеры
server_editor_advantage_smart_cards;Smart Cards;智能卡;Čipové karty;Smartcards;Carte à puce;Cartões inteligentes;;智慧卡;Tarxetas intelixentes;Inteligentne karty;Смарт-карты
server_editor_advantage_ssh_version;SSH Version;SSH Version;Verze SSH;SSH Version;Version SSH;Versão SSH;;SSH 版本;Versión de SSH;Wersja SSH;Версия SSH
server_editor_advantage_ssh_startup_auto_command;Auto command;自动命令;Automaticky spouštěný příkaz;Auto-Befehl;Commande automatique;Comando automático;;自動執行命令;Auto comandos;Automatyczna komenda;Автоматическая команда
server_editor_advantage_ssh_startup_auto_kitty_session_tip;Use external configuration by selecting a session file path for KiTTY;输入 KiTTY Portable.exe 的 Session 配置路径可支持更多额外配置;Použijte externí nastavení vybráním popisu umístění souboru s relací pro KiTTY;Externe Konfiguration durch KiTTY Session Datei;prendre en charge la configuration externe en sélectionnant un chemin de fichier de session de KiTTY;Use a configuração externa selecionando um caminho de arquivo de sessão para o KiTTY;;輸入 KiTTY Portable.exe 的 工作階段設定檔路徑，可支援更多額外的設定;Usar configuración externa escollendo un arquivo de sesión para KiTTY;Użyj zewnętrznej konfiguracji poprzez wskazanie pliku sesji dla KiTTY;Используйте внешнюю конфигурацию, выбрав путь к файлу сеанса для KiTTY
server_editor_advantage_sftp_startup_path;Startup path;启动位置;Startovní umístění;Start-Pfad;Chemin de démarrage;Caminho de inicialização;;開始位置;Ruta de inicio;Ścieżka startowa;Путь при запуске
server_editor_gateway_mode;Connection;连接设置;Připojení;Verbindung;;Conexão;;連線設定;Conexión;Połączenie;Подключение
server_editor_gateway_mode_automatically_detect;Automatically detect RD Gateway Server settings;自动检测RD网关服务器设置;Automaticky zjistit nastavení serveru brány ke vzdáleným plochám;RD-Gatewayservereinstellungen automatisch ermitteln;Détecter automatiquement les paramètres du serveur RD Gateway;Detectar automaticamente as configurações do Servidor RD Gateway;;自動偵測 RD 閘道伺服器設定;Detectar a configuración da porta de enlace do servidor RD;Automatycznie wykryj ustawienia serwera bramy RD;Автоматическое определение настроек сервера шлюза удаленных рабочих столов
server_editor_gateway_mode_use_these;Use the following RD Gateway Server settings;使用下列RD网关服务器设置;Použít následující nastavení pro server brány ke vzdáleným plochám;Diese Einstellungen für RD-Gatewayserver verwenden;Utilisez les paramètres de serveur de passerelle Bureau à distance suivants;Use as seguintes configurações do Servidor RD Gateway;;使用下列 RD 閘道伺服器設定;Usar a seguinte porta de enlace do servidor RD;Użyj podanych ustawień serwera bramy RD;Используйте следующие настройки сервера шлюза удаленных рабочих столов
server_editor_gateway_mode_do_not_use;Do not use RD Gateway Server;不使用RD网关服务器;Nepoužívat server brány ke vzdáleným plochám;Keinen Remotedesktop-Gatewayserver verwenden;Ne pas utiliser de serveur de passerelle pour le Bureau à distance;Não use o Servidor RD Gateway;;不使用 RD 閘道伺服器;Non usar a porta de enlace do servidor RD;Nie używaj serwera bramy RD;Не используйте сервер шлюза удаленных рабочих столов
server_editor_gateway_server_host_name;Host Name;服务器地址;Název stroje;Servername;Nom d'hôte;Nome do Host;;伺服器位址;Nome do host;Nazwa komputera;Имя хоста
server_editor_gateway_logon_method;Logon Method;登录方法;Způsob přihlašování;Anmeldemethode;Méthode de connexion;Tipo de logon;;登入方式;Método de inicio de sesión;Metoda logowania;Метод входа в систему
server_editor_gateway_logon_method_psw;Password;账号密码;Heslo;Kennwort anfordern;Mot de passe;Senha;;密碼;Chave de paso;Hasło;Пароль
server_editor_gateway_logon_method_smart_card;Smart Card;智能卡;Čipová karta;Smartcard;Carte à puce;Cartão inteligente;;智慧卡;Tarxeta intelixente;Inteligentna Karta;Смарт-карта
server_editor_gateway_bypass_gateway_for_local_address;Bypass RD Gateway Server for local address;不对本地地址使用RD网关;Přemostit server brány ke vzdáleným plochám v případě přístupu na místní adresu;Remotedesktop-Gatewayserver für lokale Adressen umgehen;Contourner le serveur de passerelle RD pour l'adresse locale;Ignorar o servidor de RD Gateway para endereço local;;區域網路中的位址不使用 RD 閘道器;Omitir a porta de enlace remota para direccións locais;Pomiń serwer bramy RD dla adresów lokalnych;Обход сервера шлюза удаленных рабочих столов для локального адреса
How to select the specified monitors;How to select the specified monitors;如何选择指定的显示器;Jak vybrat zadané monitory;So wählen Sie die angegebenen Monitore aus;;Como selecionar os monitores especificados;;如何選擇指定的顯示器;Como seleccionar as pantallas especificadas;Jak wybrać określone monitory;Как выбрать указанные мониторы
mstsc.exe mode;mstsc.exe mode;mstsc.exe 模式;režim využívající mstsc.exe;mstsc.exe-Modus;;modo mstsc.exe;;mstsc.exe 模式;modo mstsc.exe;Tryb mstsc.exe;Режим mstsc.exe
In this mode RDP will start the session in the way mstsc.exe xxxx.rdp in CMD, it can offer more custom parameters.;In this mode RDP will start the session in the way 'mstsc.exe xxxx.rdp' in CMD, it can offer more custom parameters.;在模式下 RDP 将以 CMD 执行 mstsc.exe xxxx.rdp 的方式启动会话，可提供更多的定制参数;V tomto režimu bude RDP relace spuštěna jako „mstsc.exe xxxx.rdp“ v příkazovém řádku a je možné zadat více parametrů.;In diesem Modus startet die RDP Sitzung als „mstsc.exe xxxx.rdp“ in CMD und es können weitere benutzerdefinierte Parameter genutzt werden..;;Nesse modo, o RDP iniciará a sessão da forma 'mstsc.exe xxxx.rdp' no CMD, podendo oferecer mais parâmetros personalizados.;;在此模式中 RDP 將以 CMD 執行 mstsc.exe xxxx.rdp 的方式開啟工作階段，可提供更多自訂參數。;Neste modo, RDP empezará a sesión do xeito 'mstsc.exe xxxx.rdp' en CMD, pode ofrecer máis parámetros personalizables.;W tym trybie RDP zostanie odpalony za pomocą 'mstsc.exe xxxx.rdp' w cmd, można użyć innych parametrów.;В этом режиме RDP запускает сеанс в формате «mstsc.exe xxxx.rdp» в командной строке. Это может предлагать больше настраиваемых параметров.
Note: This mode will be automatically enabled if there are 2+ monitors with different display scaling on your PC and you selected the full screen mode.;Note: This mode will be automatically enabled if there are 2+ monitors with different display scaling on your PC and you selected the full screen mode.;注意：在全屏模式且当前有多个缩放率不同的显示器时，该模式将被自动启用;Pozn.: Tento režim bude automaticky zapnut pokud je na vašem počítači přítomno dva a více monitorů s různým měřítkem zobrazení a vybrali jste režim na celou obrazovku.;Hinweis: Dieser Modus wird automatisch aktiviert, wenn auf Ihrem PC zwei oder mehr Monitore mit unterschiedlicher Anzeigeskalierung vorhanden sind und Sie den Vollbildmodus ausgewählt haben.;;Nota: Este modo será ativado automaticamente se houver mais de 2 monitores com escala de exibição diferente em seu PC e você selecionou o modo de tela cheia.;;注意：在全螢幕模式中，且目前客戶端有多個解析度不同的顯示器時，此模式將自動啟用。;Ollo: este modo activarase automaticamente se hai 2+ pantallas con diferentes escalas na túa PC e excolles o modo a pantalla completa.;Notka: Ten tryb zostanie automatycznie włączony jeżeli istnieją minimum dwa monitory z różnym trybem skalowania ekranu na Twoim komputerze i wybrałeś tryb pełnoekranowy.;Примечание: Этот режим будет автоматически включен, если на вашем компьютере установлено более 2 мониторов с разным масштабированием изображения и вы выбрали полноэкранный режим.
Additional settings;Additional settings;额外指令;Další nastavení;Weitere Einstellungen;;Configurações adicionais;;額外命令;Parámetros adicionais;Ustawienia zaawansowane;Дополнительные настройки
Preview rdp file;Preview rdp file;预览RDP文件;Náhled rdp souboru;Vorschau der RDP-Datei;;Visualizar arquivo RDP;;預覽 RDP 檔案;Vista previa do arquivo rdp;Podgląd pliku rdp;Предварительный просмотр файла rdp
Check monitor number;Check monitor number;查看显示器编号;Zkontrolovat počet monitorů;Anzahl der Monitore prüfen;;Verifique o número do monitor;;檢視顯示器識別;Comprobar número de pantalla;Pokaż numery minitorów;Проверьте номер монитора
server_editor_remote_app_name;App Name;程序名称;Název aplikace;Programm Name;Nom de l'application;Nome do APP;;程式名稱;Nome da aplicación;Nazwa apki;Имя приложения
server_editor_remote_app_name_tag;Name of the app (e.g. hello);程序名称的名称（如 hello.exe）;Název aplikace (např. ahoj);Name des Programms (bspw. Hallo);nom de l'application (par exemple bonjour);Nome do aplicativo (ex.: kernel);;應用程式的檔案名稱 (例如 hello.exe);Nome da aplicaciónes (ex. Olá);Nazwa aplikacji (e.g. Czesc);Название приложения (например, привет)
server_editor_remote_app_fullname;App Path;服务端路径;Popis umístění aplikace;Pfad zum Programm;Chemin de l'application;Caminho do APP;;遠端應用程式路徑;Ruta da aplicación;Ścieżka do aplikacji;Путь к приложению
server_editor_remote_app_fullname_tag;Full exe path on the server (e.g. C:\Apps\hello.exe);被远程程序在服务器上的路径（如 ' C:\\Apps\\hello.exe'）;Úplný popis umístění spustitelného souboru na serveru (např. C:\Aplikace\ahoj.exe);vollständiger Programm-Pfad auf dem Server (z. B. C:\\Apps\\hallo.exe);Chemin complet de l'éxecutable sur le serveur (par exemple C:\\Apps\\hello.exe);Caminho completo do .exe no servidor (ex.: C:\Apps\kernel.exe);;遠端伺服器上的應用程式路徑 (例如 'C:\\Apps\\hello.exe');Ruta completa do exe no servidor (ex. C:\Apps\ola.exe);Pełna ścieżka do aplikacji na serwerze (np. C:\Aplikacje\Czesc.exe);Полный путь exe на сервере (например, C:\Apps\hello.exe)
about_page_how_to_use;How to use;帮助;Jak používat;Handbuch im Github Wiki;Comment utiliser;Como usar;;說明;Como se usa;Jak używać;Как использовать
about_page_feedback;Feedback;提意见/需求;Podněty vývojářům;Feedback;Retour;Dê seu feedback;;意見或需求反映;Opinións;Opinia;Обратная связь
guidance_introduce;1Remote allows you to open a remote session at any time and anywhere.;1Remote 为您管理远程会话，帮您通过启动器快速打开远程桌面;1Remote umožňuje navazovat relace na vzdálené stroje – kdykoli a odkudkoli.;Mit 1Remote können Sie jederzeit und überall eine Remote-Sitzung eröffnen.;1Remote vous permet d'ouvrir une session à distance à tout moment et de n'importe où.;O 1Remote permite que você abra uma sessão remota a qualquer hora e em qualquer lugar.;;1Remote 可協助您管理遠端連線，並在任何時候建立工作階段。;1Remote permíteche abrir unha sesión remota en calquera momento en calquer lugar;1Remote umożliwia otwarcie sesji zdalnej, zawsze i wszędzie.;1Remote позволяет открыть удаленный сеанс в любое время и в любом месте.
guidance_feature_launcher_key;call the launcher by;快速呼出启动器;zavolat spouštěč prostřednictvím;Rufen Sie den Launcher auf mit;Appeler le lanceur par;chame os atalhos por;;快速呼叫啟動器;chamar ao lanzador por;Odpal aplikację startową przez;вызвать лаунчер через
guidance_feature_launcher_select;select item by;选择项目;vybrat položku prostřednictvím;Server auswählen mit;Sélectionner l'élément par;selecionar item por;;選擇項目;escoller obxecto por;Wybierz wpisy przez;выбрать элемент по
guidance_feature_launcher_connect;connect by;启动会话;připojit prostřednictvím;verbinden mit;Se connecter par;conectar por;;開啟工作階段;conectar por;Połącz przez;подключиться через
guidance_feature_launcher_menu;menu by;弹出菜单;nabídka prostřednictvím;Menüaufruf mit;Menu par;menu por;;開啟選單;menú por;Menu przez;меню от
guidance_feature_tab_demo;Dragable, tearable, dockable remote session for RDP, SSH, VNC, sFTP...;可分离可合并的 RDP, SSH, VNC, sFTP 远程窗体;Přesouvatelné, odtrhovatelné a ukotvitelné vzdálené relace pro RDP, SSH, VNC, sFTP …;Verschiebbare, zerteilbare, andockbare Remote-Sitzung für RDP, SSH, VNC, sFTP...;Session distante Fixable, Découpable et Ancrable pour RDP, SSH, VNC, sFTP ...;Janelas arrastáveis. Sessão remota feita com: RDP, SSH, VNC, sFTP...;;可拆分或組合的 RDP, SSH, VNC, sFTP 遠端連線視窗;Sesións remotas arrastrables, rasgables e acoplable para RDP, SSH, VNC, sFTP…;Przesuwalna, rozsuwalna, przypinalna sesja zdalna dla RDP, SSH, VNC, sFTP...;Перетаскиваемый, разрываемый и закрепляемый удаленный сеанс для RDP, SSH, VNC, sFTP...
guidance_feature_start_setting1;Please confirm some settings before first use.;开始使用前请确认一些配置;Než začnete používat, potvrďte několik nastavení.;Bitte bestätigen Sie einige Einstellungen vor der Benutzung.;Veuillez confirmer certains paramètres avant de commencer.;Confirme algumas configurações antes do primeiro uso.;;請在開始使用前完成一些設定。;Por favor, confirma algunhas configuracións antes do primeiro uso.;Zatwierdź ustawienia przed pierwszym użyciem.;Пожалуйста, подтвердите некоторые настройки перед первым использованием.
guidance_feature_start_setting2;You are able to change this setting later in Options.;这些配置稍后同样可以在设置界面中修改;Tato nastavení je možné změnit kdykoli později v Předvolbách.;Sie können diese Einstellung später in den Optionen ändern.;Vous pouvez modifier ce paramètre ultérieurement dans la page Options.;Você pode alterar essa configuração posteriormente em Opções.;;这些配置稍后同样可以在设置界面中修改;Podes cambiar isto despois en Opcións;To ustawienie można zmienić później w Ustawieniach.;Вы сможете изменить этот параметр позже в настройках.
Portable mode;Portable mode;便携模式;Přenosný režim;Tragbarer Modus;Mode portable;Modo portátil;;可移動模式;Modo portable;Edycja przenośna;Портативный режим
Profile is saved where executable is located;Profile is saved where executable is located;配置文件保存在可执行文件所在文件夹;Profil je ukládán do stejného umístění, ve kterém se nachází aplikace;Das Profil wird dort gespeichert, wo sich die ausführbare Datei befindet;Le profil est enregistré là où est situé;O perfil é salvo onde o executável está localizado;;設定檔案儲存在應用程式執行檔所在的位置;O perfil é gravado xunto co executable;Profil zostanie zapisany w lokacji pliki exe;Профиль сохраняется там, где находится исполняемый файл
Install for current windows account;Install for current windows account;为当前 Windows 用户配置;Nainstalovat pro stávající účet ve Windows;Installieren Sie für das aktuelle Windows -Konto;Installer pour le compte Windows actuel;Instale para a conta atual do Windows;;為目前的 Windows 使用者設定;Instalar para a conta de Windows actual;Zainstaluj dla aktualnego użytkownika;Установить для текущей учетной записи Windows
Profile is saved in your Windows AppData folder;Profile is saved in your Windows AppData folder;配置文件保存在 Windows AppData 文件夹;Profil je ukládán do složky AppData ve vašem účtu;Das Profil wird in Ihrem Windows AppData -Ordner gespeichert;Le profil est enregistré dans votre dossier Windows AppData;O perfil é salvo na sua pasta Windows AppData;;設定檔案儲存在 Users AppData 資料夾;O perfil é gravado no teu cartafol de Windows AppData;Profil zostanie zapisany w folderze AppData;Профиль сохраняется в папке Windows AppData
word_oops;Oops...;哎哟喂...;Jejda…;Upps...;;OOPAA...;;糟糕...;Ups…;Ojoj...;Упс...
error_report_unexpected_error_occurred;Unexpected error occurred. Error info is shown below:;程序发生了一些未知错误，详细信息如下：;Došlo k neočekávané chybě. Informace o chybě viz níže:;Unerwarteter Fehler ist aufgetreten. Die Fehlerinformation wird unten angezeigt:;Une erreur inattendue s'est produite. Les informations sur l'erreur sont affichées ci-dessous :;Ocorreu um erro inesperado. As informações do erro são mostradas abaixo:;;應用程式發生了一些未知的問題，以下是詳細資訊：;Ocorreu un erro inesperado. Móstrase máis información abaixo;Wystąpił nieoczekiwany błąd. Opis błędu poniżej:;Произошла непредвиденная ошибка. Информация об ошибке показана ниже:
error_report_to_clipboard;Copy to clipboard;保存到剪贴板;Zkopírovat do schránky;In die Zwischenablage kopieren;Copier dans le presse-papier;Copiar para área de transferência;;複製到剪貼簿;Copiar ao portapapeis;Kopiuj do schowka;Скопировать в буфер обмена
error_report_please_help_us_improve;Please help us improve 1Remote by reporting this error.;请通过反馈这个错误来帮助我们改进 1Remote。;Prosíme pomozte nám 1Remote vylepšit nahlášením této chyby.;Bitte helfen Sie uns, 1Remote zu verbessern, indem Sie diesen Fehler melden.;Veuillez nous aider à améliorer 1Remote en signalant cette erreur.;Ajude-nos a melhorar o 1Remote relatando este erro.;;請反映這些問題來協助我們改善 1Remote。;Por favor, axúdanos a mellorar 1Remote informando deste erro;Pomoż rozwijać 1Remote poprzez zgłoszenie tego błędu.;Пожалуйста, помогите нам улучшить 1Remote, сообщив об этой ошибке.
error_report_how_help_us_improve;Simply copy the error message and choose a way to report it.;只需要复制错误信息，下列任意方式都可进行错误反馈！（QQ群也行:168542318）;Stačí jen zkopírovat tuto chybovou hlášku a zvolit způsob jejíh nahlášení.;Kopieren Sie einfach die Fehlermeldung und wählen Sie eine der Möglichkeiten, diese zu melden.;Copiez simplement le message d'erreur et choisissez l'une des façons de le signaler.;Basta copiar a mensagem de erro e escolher uma forma de relatar.;;只需要複製錯誤訊息，並透過下列任意方式反映這個問題！;Simplemente copia a mensaxe do error e excolle unha forma para informar.;Po prostu skopiuj ten błąd, i wybierz sposób wysłania.;Просто скопируйте сообщение об ошибке и выберите способ сообщить о нем.
error_report_send_by_email;Send by e-mail;通过邮件;Poslat e-mailem e-mail;Per E-Mail senden;Envoyé par email;Enviar por email;;透過電子郵件;Enviar por e-enderezo;Wyślij mailem;Послать по электронной почте
error_report_send_by_github;Send by GitHub;通过GitHub;Poslat prostřednictvím portálu GitHub;Senden über Github;Envoyer par GitHub;Enviar pelo GitHub;;透過 GitHub;Enviar por GitHub;Wyślij przez GitHub'a;Отправить через GitHub
logo_selector_open_file_dialog_title;select a picture;选择图片;vyberte obrázek;Bild auswählen;sélectionner une image;selecione uma imagem;;選擇圖片;escoller unha imaxe;Wybierz zdjęcie;выберите картинку
Default;Default;默认;Výchozí;Standard;Défaut;Predefinição;;預設;Por defecto;Domyślne;По умолчанию
Exe path;Exe path;Exe 路径;Popis umístění spustitelného souboru;Exe-Pfad;;Caminho .exe;;Exe 檔案路徑;Ruta Exe;Ścieżka exe;Путь к Exe
Cmd parameter;CMD parameter;命令行参数;parametry pro příkaz;CMD-Parameter;CMD paramètre;Parâmetro CMD;;命令列參數;Parámetro CMD;parametry konsoli;Параметр командной строки
New runner name;New runner name;新增 runner 名;Název pro nový spouštěč;Neuer Runner Name;New runner name;Novo nome do agente;;新增執行器名稱;Nome do novo executable;Nazwa nowego programu uruchamiającego;Название нового триггера
Can not be empty!;Can not be empty!;不能为空！;Je třeba vyplnit!;Darf nicht leer bleiben!;;Não pode estar vazio!;;不能為空值！;Non pode estar baleiro!;Nie może być pusty ciąg!;Не может быть пустым!
Hosting;Hosting;集成;Hostování;Hosting;Hosting;Hospedar;;嵌入;Hospedaxe;Hosting;Размещение
Hosting this exe in 1Remote tab view?;Hosting this exe in 1Remote tab windowView?;将该 exe 集成到 1Remote 的 tab 视图中?;Hostovat tento spustitelný soubor v 1Remote panelu windowView?;Diese Exe in 1Remote-Tab-Fensteransicht hosten?;;Hospedar este .exe na guia do 1Remote?;;;;Hostować ten plik exe w 1Remote?;Разместить этот exe-файл на вкладке 1Remote windowView?
